,Unnamed: 0,idx,code,reaction,error
0,0,0,0,[C:1]([C:2]([C:3](=[C:4]([H:34])[H:35])[H:33])=[C:7]([H:36])[H:37])([H:30])([H:31])[H:32].[C:5]1(=[C:6]([H:17])[H:18])[C:8](=[O:9])[C:10]([H:19])([H:20])[C:11]([H:21])([H:22])[C:12]([Br:13])([H:23])[C:14]1([C:15]([H:24])([H:25])[H:26])[C:16]([H:27])([H:28])[H:29]>>[C:1]([C:2]1=[C:3]([H:33])[C:4]([H:34])([H:35])[C@@:5]2([C:6]([H:17])([H:18])[C:7]1([H:36])[H:37])[C:8](=[O:9])[C:10]([H:19])([H:20])[C:11]([H:21])([H:22])[C@@:12]([Br:13])([H:23])[C:14]2([C:15]([H:24])([H:25])[H:26])[C:16]([H:27])([H:28])[H:29])([H:30])([H:31])[H:32],False
1,0,1,1,[C:15](=[C:16]([Cl:17])[C:18]#[N:19])([H:20])[H:21].[C:1](=[C:2]([C:3]([C:4]([C:5]12[C:6](=[O:7])[C:8]([H:29])=[C:9]([H:30])[N:10]1[C:11]([H:31])=[C:12]([H:32])[C:13]([H:33])=[C:14]2[H:34])([H:27])[H:28])([H:25])[H:26])[H:24])([H:22])[H:23]>>[C:1](=[C:2]([C:3]([C:4]([C@:5]12[C:6](=[O:7])[C:8]([H:29])=[C:9]([H:30])[N:10]1[C@:11]1([H:31])[C:12]([H:32])=[C:13]([H:33])[C@@:14]2([H:34])[C:15]([H:20])([H:21])[C@:16]1([Cl:17])[C:18]#[N:19])([H:27])[H:28])([H:25])[H:26])[H:24])([H:22])[H:23],False
2,0,2,2,[C:10]1([H:15])=[C:11]([H:16])[C:12]([H:17])([H:18])[C:13]([H:19])=[C:14]1[H:20].[C:1]([C:2]([O:3][C:4]#[C:5][C:6](=[O:7])[O:8][C:9]([H:26])([H:27])[H:28])([H:24])[H:25])([H:21])([H:22])[H:23]>>[C:1]([C:2]([O:3][C:4]1=[C:5]([C:6](=[O:7])[O:8][C:9]([H:26])([H:27])[H:28])[C:11]2([H:16])[C:10]([H:15])=[C:14]([H:20])[C:13]1([H:19])[C:12]2([H:17])[H:18])([H:24])[H:25])([H:21])([H:22])[H:23],False
3,0,3,3,[C:1]([O:2][C:3](=[O:4])/[C:5](=[C:11](\[C:12](=[O:13])[O:14][C@@:15]([C:16]([H:35])([H:36])[H:37])([C:17]1=[C:18]([H:38])[C:19]([H:39])=[C:20]([H:40])[C:21]([H:41])=[C:22]1[H:42])[H:34])[H:33])[H:32])([H:29])([H:30])[H:31].[C:6]1([H:23])=[C:7]([H:24])[C:8]([H:25])=[C:9]([H:26])[C:10]1([H:27])[H:28]>>[C:1]([O:2][C:3](=[O:4])[C:5]1([H:32])[C:6]2([H:23])[C:7]([H:24])=[C:8]([H:25])[C:9]([H:26])([C:10]2([H:27])[H:28])[C:11]1([C:12](=[O:13])[O:14][C@@:15]([C:16]([H:35])([H:36])[H:37])([C:17]1=[C:18]([H:38])[C:19]([H:39])=[C:20]([H:40])[C:21]([H:41])=[C:22]1[H:42])[H:34])[H:33])([H:29])([H:30])[H:31],False
4,0,4,4,[C:1]([C:2]1=[C:4]([H:19])[C:3]1([H:20])[H:21])([H:16])([H:17])[H:18].[C:5]1([H:10])=[C:6]([H:11])[C:7]([H:12])=[C:8]([H:13])[C:9]1([H:14])[H:15]>>[C:1]([C@@:2]12[C:3]([H:20])([H:21])[C@:4]1([H:19])[C@:5]1([H:10])[C:6]([H:11])=[C:7]([H:12])[C@@:8]2([H:13])[C:9]1([H:14])[H:15])([H:16])([H:17])[H:18],False
5,0,5,5,[C:19](\[C:20](=[O:21])[O:22][C:23]([C:24]([H:40])([H:41])[H:42])([H:38])[H:39])(=[C:25]([C:26](=[C:27](/[C:28]([H:46])([H:47])[H:48])[H:45])/[H:44])\[H:43])[H:37].[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]1=[C:7]2[C:8]3=[C:9]([H:54])[C:10]([H:55])=[C:11]([H:56])[C:12]4=[C:13]([H:57])[C:14]([H:58])=[C:15]([H:59])[C:16](=[C:17]34)[C:18]2=[C:29]([C:30](=[O:31])[O:32][C:33]([C:34]([H:62])([H:63])[H:64])([H:60])[H:61])[C:35]1=[O:36])([H:52])[H:53])([H:49])([H:50])[H:51]>>[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]1=[C:7]2[C:8]3=[C:9]([H:54])[C:10]([H:55])=[C:11]([H:56])[C:12]4=[C:13]([H:57])[C:14]([H:58])=[C:15]([H:59])[C:16](=[C:17]34)[C@:18]23[C:19]([C:20](=[O:21])[O:22][C:23]([C:24]([H:40])([H:41])[H:42])([H:38])[H:39])([H:37])[C:25]([H:43])=[C:26]([H:44])[C@:27]([C:28]([H:46])([H:47])[H:48])([H:45])[C@:29]3([C:30](=[O:31])[O:32][C:33]([C:34]([H:62])([H:63])[H:64])([H:60])[H:61])[C:35]1=[O:36])([H:52])[H:53])([H:49])([H:50])[H:51],False
6,0,6,6,[C:16]1([H:53])=[C:28]([H:54])[C:26](=[O:27])[N:19]([C:20]2=[C:21]([H:55])[C:22]([H:56])=[C:23]([H:57])[C:24]([H:58])=[C:25]2[H:59])[C:17]1=[O:18].[C:1]([C:2]([O:3][P:4](=[O:5])([O:6][C:7]([C:8]([H:39])([H:40])[H:41])([H:37])[H:38])[O:9]/[C:10]([C:11]1=[C:15]([H:42])[C:14]([H:43])([H:44])[C:13]([H:45])([H:46])[C:12]1([H:47])[H:48])=[C:29](\[S:30][C:31]([H:50])([H:51])[H:52])[H:49])([H:35])[H:36])([H:32])([H:33])[H:34]>>[C:1]([C:2]([O:3][P:4](=[O:5])([O:6][C:7]([C:8]([H:39])([H:40])[H:41])([H:37])[H:38])[O:9][C:10]1=[C:11]2[C:12]([H:47])([H:48])[C:13]([H:45])([H:46])[C:14]([H:43])([H:44])[C@@:15]2([H:42])[C@@:16]2([H:53])[C:17](=[O:18])[N:19]([C:20]3=[C:21]([H:55])[C:22]([H:56])=[C:23]([H:57])[C:24]([H:58])=[C:25]3[H:59])[C:26](=[O:27])[C@@:28]2([H:54])[C@:29]1([S:30][C:31]([H:50])([H:51])[H:52])[H:49])([H:35])[H:36])([H:32])([H:33])[H:34],False
7,0,7,7,[C:13]1([H:44])=[C:24]([H:45])[C:22](=[O:23])[C:21]2=[C:16]([C:14]1=[O:15])[C:17]([H:46])=[C:18]([H:47])[C:19]([H:48])=[C:20]2[H:49].[C:1]([C:2]([C:3]([C:4]([C:5]([C:6]([C:7](/[C:8](=[C:9](\[Cl:10])[C:11](=[C:12]([H:42])[H:43])[H:41])[H:40])([H:38])[H:39])([H:36])[H:37])([H:34])[H:35])([H:32])[H:33])([H:30])[H:31])([H:28])[H:29])([H:25])([H:26])[H:27]>>[C:1]([C:2]([C:3]([C:4]([C:5]([C:6]([C:7]([C:8]1([H:40])[C:9]([Cl:10])=[C:11]([H:41])[C:12]([H:42])([H:43])[C:13]2([H:44])[C:14](=[O:15])[C:16]3=[C:17]([H:46])[C:18]([H:47])=[C:19]([H:48])[C:20]([H:49])=[C:21]3[C:22](=[O:23])[C:24]12[H:45])([H:38])[H:39])([H:36])[H:37])([H:34])[H:35])([H:32])[H:33])([H:30])[H:31])([H:28])[H:29])([H:25])([H:26])[H:27],False
8,0,8,8,[C:19]([C:20](=[O:21])[H:24])(=[C:22]([H:25])[H:26])[H:23].[C:1]([C:2](/[C:3](=[C:4]([C:5](=[C:6](/[O:7][C:8](=[O:9])[C@@:10]([O:11][C:12]([H:37])([H:38])[H:39])([C:13]1=[C:14]([H:40])[C:15]([H:41])=[C:16]([H:42])[C:17]([H:43])=[C:18]1[H:44])[H:36])[H:35])/[H:34])\[H:33])[H:32])([H:30])[H:31])([H:27])([H:28])[H:29]>>[C:1]([C:2]([C@@:3]1([H:32])[C:4]([H:33])=[C:5]([H:34])[C@:6]([O:7][C:8](=[O:9])[C@@:10]([O:11][C:12]([H:37])([H:38])[H:39])([C:13]2=[C:14]([H:40])[C:15]([H:41])=[C:16]([H:42])[C:17]([H:43])=[C:18]2[H:44])[H:36])([H:35])[C@:19]([C:20](=[O:21])[H:24])([H:23])[C:22]1([H:25])[H:26])([H:30])[H:31])([H:27])([H:28])[H:29],False
9,0,9,9,[C:1]([O:2][C:3]1([O:4][C:5]([H:25])([H:26])[H:27])[C:6]([Cl:7])=[C:16]([Cl:17])[C:14]([Cl:15])=[C:12]1[Cl:13])([H:22])([H:23])[H:24].[C:8](=[C:9]([C:10](=[O:11])[H:21])[H:20])([H:18])[H:19]>>[C:1]([O:2][C:3]1([O:4][C:5]([H:25])([H:26])[H:27])[C:6]2([Cl:7])[C:8]([H:18])([H:19])[C:9]([C:10](=[O:11])[H:21])([H:20])[C:12]1([Cl:13])[C:14]([Cl:15])=[C:16]2[Cl:17])([H:22])([H:23])[H:24],False
