Rind,reaction,idx,code
MR_100005_2,[C-:1]([N+:6](=[C:2]([C:4]([H:17])([H:19])[H:20])[C:5]([H:18])([H:21])[H:22])[H:10])([N:7]([H:13])[H:14])[H:11].[C:3]([O:8][H:9])([H:12])([H:15])[H:16]>>[C:1]([C:3]([O:8][H:9])([H:15])[H:16])([N:6]([C:2]([C:4]([H:17])([H:19])[H:20])([C:5]([H:18])([H:21])[H:22])[H:12])[H:10])([N:7]([H:13])[H:14])[H:11],0,0
MR_100076_1,[C-:2](=[O+:7]\[H:9])\[H:12].[C:1]([N:4]([H:10])[H:11])([O:5][C:3]([H:14])([H:15])[H:16])([O:6][H:8])[H:13]>>[C:1]([C:2]([O:7][H:9])([H:12])[H:13])([N:4]([H:10])[H:11])([O:5][C:3]([H:14])([H:15])[H:16])[O:6][H:8],1,1
MR_100178_1,[C:1]([C:4]1=[N:8][C:7]2([H:13])[N:2]([N:5]([H:9])[H:10])[C:3]12[N:6]([H:11])[H:12])([H:14])([H:15])[H:16]>>[C:1]([c:4]1[c:3]([N:6]([H:11])[H:12])[n:2]([N:5]([H:9])[H:10])[c:7]([H:13])[n:8]1)([H:14])([H:15])[H:16],2,2
MR_100184_0,[C:1]([N-:3][N@@+:4]([C:2]([H:16])([H:17])[H:18])([C:5]([N:7]([H:11])[H:12])=[C:8]([H:19])[H:20])[N:6]([H:9])[H:10])([H:13])([H:14])[H:15]>>[C:1]([N:3]([N:4]([C:2]([H:16])([H:17])[H:18])[N:6]([H:9])[H:10])[C:5]([N:7]([H:11])[H:12])=[C:8]([H:19])[H:20])([H:13])([H:14])[H:15],3,3
MR_100371_1,[C:1](=[N:3][H:5])=[O:4].[N:2]([H:7])([H:8])[C:9]([C:10](=[C:11]([H:16])[H:17])[H:15])([N:12]([H:6])[H:13])[H:14]>>[C:1]([N:2]([H:7])[H:8])([N:3]([H:5])[H:6])=[O:4].[C:9](\[C:10](=[C:11]([H:16])[H:17])[H:15])(=[N:12]/[H:13])[H:14],4,4
MR_100455_2,[C:1](/[C:3]([N:6]([C-:2]=[N+:5]([H:10])[H:11])[N:4]([H:8])[H:9])=[N:7]\[H:12])([H:13])([H:14])[H:15]>>[C:1]([C:3](/[C:2]([N:5]([H:10])[H:11])=[N:6]/[N:4]([H:8])[H:9])=[N:7]\[H:12])([H:13])([H:14])[H:15],5,5
MR_100530_1,[C-:1]([C:3]([H:12])([H:13])[H:14])(/[O+:6]=[N:5]\[H:8])[H:7].[C:2]([C:4]([H:15])([H:16])[H:17])([H:9])([H:10])[H:11]>>[C:1]([C:2]([C:4]([H:15])([H:16])[H:17])([H:10])[H:11])([C:3]([H:12])([H:13])[H:14])([O:6][N:5]([H:8])[H:9])[H:7],6,6
MR_100546_0,[C-:1]([C:2]([H:9])([H:11])[H:12])([C:3]([H:10])([H:13])[H:14])/[O+:5]=[N:4]\[H:7].[H:6][H:8]>>[C:1]([C:2]([H:9])([H:11])[H:12])([C:3]([H:10])([H:13])[H:14])([O:5][N:4]([H:7])[H:8])[H:6],7,7
MR_100585_0,[C-:1](/[N+:3](=[N:2]\[H:7])[H:8])([H:11])[H:12].[C:4]([N:5]([H:9])[H:10])(=[O:6])[H:13]>>[C:1]([N:3]([N:2]([C:4]([N:5]([H:9])[H:10])=[O:6])[H:7])[H:8])([H:11])([H:12])[H:13],8,8
MR_10066_1,[N-:1]=[N+:2]([H:5])[H:6].[N:3]([H:4])([H:7])[H:8].[N:9]([N:10]([H:13])[H:14])([N:11]([H:15])[H:16])[H:12]>>[N:1]([N:2]([H:5])[H:6])([N:3]([H:7])[H:8])[H:4].[N:9]([N:10]([H:13])[H:14])([N:11]([H:15])[H:16])[H:12],9,9
MR_10066_2,[H:4][N:9]([N:10]([H:13])[H:14])[N:11]([H:15])[H:16].[N-:1]=[N+:2]([H:5])[H:6].[N:3]([H:7])([H:8])[H:12]>>[H:4][N:9]([N:10]([H:13])[H:14])[N:11]([H:15])[H:16].[N:1]([N:2]([H:5])[H:6])([N:3]([H:7])[H:8])[H:12],10,10
MR_100778_2,[C:1](/[C:3](=[C:2](\[N:4]([H:9])[H:10])[C:6](=[C:8]=[C:7]([H:17])[H:18])[H:13])[N:5]([H:11])[H:12])([H:14])([H:15])[H:16]>>[C:1]([C:3]1([N:5]([H:11])[H:12])[C:2]([N:4]([H:9])[H:10])=[C:6]([H:13])[C:8]1=[C:7]([H:17])[H:18])([H:14])([H:15])[H:16],11,11
MR_100792_1,[C:1](\[C:2]([H:13])([H:14])[H:15])(=[C:4](\[N:7]([O:5][H:9])[H:10])[H:12])[H:11].[C:3](=[O:6])=[O:8]>>[C:1]([C:2]([H:13])([H:14])[H:15])([C:3]([O:6][H:10])=[O:8])(/[C:4](=[N:7]/[O:5][H:9])[H:12])[H:11],12,12
MR_100798_1,[C:1]([C:2]([H:10])([H:11])[H:12])(=[C:5]=[N:7][H:8])[H:9].[C:3](=[O:4])=[O:6]>>[C:1]([C:2]([H:10])([H:11])[H:12])([C:3]([O:4][H:8])=[O:6])([C:5]#[N:7])[H:9],13,13
MR_100925_1,[C:1]([O:3][N:2]([H:9])[H:10])([O:4][H:6])([O:5][H:7])[H:8]>>[C:1](=[O:4])([O:5][H:7])[H:8].[N:2]([O:3][H:6])([H:9])[H:10],14,14
MR_100926_1,[C:1]([O:3][N:2]([H:9])[H:10])([O:4][H:6])([O:5][H:7])[H:8]>>[C:1](=[O:4])([O:5][H:7])[H:8].[N:2]([O:3][H:6])([H:9])[H:10],15,14
MR_100926_2,[C:1]([O:3][N:2]([H:9])[H:10])([O:4][H:6])([O:5][H:7])[H:8]>>[C:1]([O:4][H:6])(=[O:5])[H:8].[N:2]([O:3][H:7])([H:9])[H:10],16,14
MR_100951_1,[C:1](=[N:3][H:8])([H:9])[H:10].[C:2]([N:6]=[C:5]=[C:4]=[O:7])([H:11])([H:12])[H:13]>>[C:1]1([H:9])([H:10])[N:3]([H:8])[C:4](=[O:7])/[C:5]1=[N:6]\[C:2]([H:11])([H:12])[H:13],17,15
MR_101025_1,[C:1]([C:3]12[C:2]([O:8][H:11])([C:4]([H:12])=[C:5]1[H:13])[O:6]2)([O:7][H:10])=[O:9]>>[C:1]([c:3]1[c:5]([H:13])[c:4]([H:12])[c:2]([O:8][H:11])[o:6]1)([O:7][H:10])=[O:9],18,16
MR_10102_1,[C:1]([N+:4](=[C-:2]/[H:15])/[N:7]=[C:5](/[C:3]([H:16])([H:17])[H:18])[N:6]([H:8])[H:9])([H:10])([H:11])[H:12].[H:13][H:14]>>[C:1]([N:4]([C:2]([H:13])([H:14])[H:15])/[N:7]=[C:5](/[C:3]([H:16])([H:17])[H:18])[N:6]([H:8])[H:9])([H:10])([H:11])[H:12],19,17
MR_101067_0,[C:1]([C:3](=[C:2]=[C:4]([H:12])[H:13])[H:11])([O:5][H:9])=[O:6].[O:7]([H:8])[H:10]>>[C:1](=[C:3]([C:2](=[C:4]([H:12])[H:13])[O:7][H:10])[H:11])([O:5][H:9])[O:6][H:8],20,18
MR_101084_1,[C:1]1([H:10])([H:11])[C:5]([H:9])=[N:7][N@+:3]2([C:2]([H:13])([H:14])[H:15])[C-:4]([H:8])[C@:6]12[H:12]>>[C:1]1([H:10])([H:11])[C:5]([H:9])=[N:7][N:3]([C:2]([H:13])([H:14])[H:15])[C:4]([H:8])=[C:6]1[H:12],21,19
MR_101290_0,[C:1]([O:6][N:4]([C:2]([H:12])([H:13])[H:14])/[C:5](=[N:7]/[C:3]([H:15])([H:16])[H:17])[H:8])([H:9])([H:10])[H:11]>>[C:1](=[O:6])([H:9])[H:11].[C:2](/[N:4]=[C:5](\[N:7]([C:3]([H:15])([H:16])[H:17])[H:10])[H:8])([H:12])([H:13])[H:14],22,20
MR_101628_0,[C:1]([N:2]([N:4]([H:8])[H:9])[O:5][N:3]([H:6])[H:7])([H:10])([H:11])[H:12]>>[C:1](=[N:2][N:4]([H:8])[H:9])([H:10])[H:11].[N:3]([O:5][H:12])([H:6])[H:7],23,21
MR_155740_0,[C:1]([N:2]([N:4]([H:8])[H:9])[O:5][N:3]([H:6])[H:7])([H:10])([H:11])[H:12]>>[C:1](/[N:2]=[N:4]/[H:8])([H:10])([H:11])[H:12].[N:3]([O:5][H:9])([H:6])[H:7],24,21
