,idx,code,reaction
0,0,0,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([O-:4])[C:5]#[N:6])([H:8])([H:9])[H:10].[O+:7]([H:14])([H:15])[H:16]>>[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([O:4][H:14])[C:5]#[N:6])([H:8])([H:9])[H:10].[O:7]([H:15])[H:16]
0,1,1,[B-:1]([H:18])([H:19])([H:20])[H:21].[C:2]([C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([C:6]([H:15])([H:16])[H:17])=[O:7])[H:11])([H:8])([H:9])[H:10]>>[B:1]([H:19])([H:20])[H:21].[C:2]([C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([C:6]([H:15])([H:16])[H:17])([O-:7])[H:18])[H:11])([H:8])([H:9])[H:10]
0,2,2,[C:1]([C:2]([C:3]([C:4]([C:5]([C:6]([H:19])([H:20])[H:21])([O-:7])[H:18])([H:16])[H:17])([H:14])[H:15])([H:12])[H:13])([H:9])([H:10])[H:11].[Cl:8][H:22]>>[C:1]([C:2]([C:3]([C:4]([C:5]([C:6]([H:19])([H:20])[H:21])([O:7][H:22])[H:18])([H:16])[H:17])([H:14])[H:15])([H:12])[H:13])([H:9])([H:10])[H:11].[Cl-:8]
0,3,3,[C:1]([C:2](=[O:4])[c:5]1[c:6]([H:14])[c:7]([H:15])[c:8]([H:16])[c:9]([H:17])[c:10]1[H:18])([H:11])([H:12])[H:13].[O:3]([H:19])[H:20]>>[C:1]([C:2]([O-:4])([O+:3]([H:19])[H:20])[c:5]1[c:6]([H:14])[c:7]([H:15])[c:8]([H:16])[c:9]([H:17])[c:10]1[H:18])([H:11])([H:12])[H:13]
0,4,4,[C:1]([C:2]([O+:3]([H:14])[H:15])([O-:4])[c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])([H:11])([H:12])[H:13]>>[C:1]([C:2]([O:3][H:14])([O:4][H:15])[c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])([H:11])([H:12])[H:13]
1,5,4,[C:1]([C:2]([O+:3]([H:14])[H:15])([O-:4])[c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])([H:11])([H:12])[H:13]>>[C:1]([C:2](=[O:4])[c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])([H:11])([H:12])[H:13].[O:3]([H:14])[H:15]
0,6,5,[C:1]([C:2]([O:3][H:23])([H:21])[H:22])([H:18])([H:19])[H:20].[C:4]([C:5]([H:9])([H:10])[H:11])(=[O+:6][H:12])[C:7]([C:8]([H:15])([H:16])[H:17])([H:13])[H:14]>>[C:1]([C:2]([O+:3]([C:4]([C:5]([H:9])([H:10])[H:11])([O:6][H:12])[C:7]([C:8]([H:15])([H:16])[H:17])([H:13])[H:14])[H:23])([H:21])[H:22])([H:18])([H:19])[H:20]
1,7,5,[C:1]([C:2]([O:3][H:23])([H:21])[H:22])([H:18])([H:19])[H:20].[C:4]([C:5]([H:9])([H:10])[H:11])(=[O+:6][H:12])[C:7]([C:8]([H:15])([H:16])[H:17])([H:13])[H:14]>>[C:1]([C:2]([O+:3]([H:12])[H:23])([H:21])[H:22])([H:18])([H:19])[H:20].[C:4]([C:5]([H:9])([H:10])[H:11])(=[O:6])[C:7]([C:8]([H:15])([H:16])[H:17])([H:13])[H:14]
0,8,6,[C:1]([C:2]([O-:3])([H:15])[H:16])([H:12])([H:13])[H:14].[C:4](=[O:5])([c:6]1[c:7]([H:18])[c:8]([H:19])[c:9]([H:20])[c:10]([H:21])[c:11]1[H:22])[H:17]>>[C:1]([C:2]([O:3][C:4]([O-:5])([c:6]1[c:7]([H:18])[c:8]([H:19])[c:9]([H:20])[c:10]([H:21])[c:11]1[H:22])[H:17])([H:15])[H:16])([H:12])([H:13])[H:14]
0,9,7,[C:1]([O:2][C:3]([C:4]([H:10])([H:11])[H:12])([C:5]([H:13])([H:14])[H:15])[O+:6]([H:16])[H:17])([H:7])([H:8])[H:9]>>[C:1]([O+:2]=[C:3]([C:4]([H:10])([H:11])[H:12])[C:5]([H:13])([H:14])[H:15])([H:7])([H:8])[H:9].[O:6]([H:16])[H:17]
