,Unnamed: 0,idx,code,reaction
0,0,0,0,[C:1]([C:2]1=[N:3][O:4][N:5]=[N:6]1)([H:7])([H:8])[H:9]>>[C:1]([C:2]#[N:3])([H:7])([H:8])[H:9].[O:4]=[N+:5]=[N-:6]
1,0,1,1,[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6]>>[N:4]#[N:5].[O:1]=[C:2]=[N:3][H:6]
2,0,2,2,[O:1]([C+:2]1[N-:3][C:4]([H:8])=[N:5][N:6]1[H:9])[H:7]>>[O:1]=[C:2]1[N:3]([H:7])[C:4]([H:8])=[N:5][N:6]1[H:9]
3,0,3,3,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:6]([H:13])[C@@:4]2([H:11])[C@:3]1([H:10])[N:5]2[H:12]
4,1,4,3,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:6]([H:13])[N:5]([H:12])[C:4]([H:11])=[C:3]1[H:10]
5,0,5,4,[O:1]=[C:2]1[C:3]([H:7])([H:8])[C@@:4]2([H:9])[O:5][C@@:6]12[H:10]>>[O:1]=[C:2]=[C:6]([O:5][C:4](=[C:3]([H:7])[H:8])[H:9])[H:10]
6,0,6,5,[C:1]1([H:7])=[N:2][N:3]=[C:4]([H:8])[N:5]=[N:6]1>>[C:1](#[N:6])[H:7].[C:4](#[N:5])[H:8].[N:2]#[N:3]
7,0,7,6,[O:1]([C:2]([C@@:3]([O:4][H:11])([C:5]#[C:6][H:12])[H:10])([H:8])[H:9])[H:7]>>[C:3]([O:4][H:11])(=[C:5]=[C:6]([H:7])[H:12])[H:10].[O:1]=[C:2]([H:8])[H:9]
8,0,8,7,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O:5][C:6]2([H:13])[H:14])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([C:4](=[O:5])[H:12])([H:10])[H:11])=[C:6]([H:13])[H:14])([H:7])([H:8])[H:9]
9,0,9,8,[O:1]=[C:2]([N:3]1[C:4]([H:7])([H:8])[C:5]1([H:9])[H:10])[H:6]>>[O:1]1[C:2]([H:6])=[N:3][C:4]([H:7])([H:8])[C:5]1([H:9])[H:10]
