,Unnamed: 0,Unnamed: 0.1,idx,code,reaction,type
156,159.0,0.0,118,100,[C:1]1([H:8])([H:9])[C@:2]2([H:10])[O:3][C@@:4]1([H:11])[C@:5]1([H:12])[O:6][C@:7]21[H:13]>>[C:1](=[C:2]([C@@:7]1([H:13])[C@:5]([C:4](=[O:3])[H:11])([H:12])[O:6]1)[H:10])([H:8])[H:9],train
158,161.0,0.0,119,101,[O:1]=[C:2]([C:3]1([C:6](=[O:7])[H:13])[C:4]([H:9])([H:10])[C:5]1([H:11])[H:12])[H:8]>>[O:1]=[C:2]([C:3]1=[C:6]([H:13])[O:7][C:4]([H:9])([H:10])[C:5]1([H:11])[H:12])[H:8],train
159,162.0,1.0,120,101,[O:1]=[C:2]([C:3]1([C:6](=[O:7])[H:13])[C:4]([H:9])([H:10])[C:5]1([H:11])[H:12])[H:8]>>[O:1]=[C:2]([C:3]([C:4]([C:5]([H:11])([H:12])[H:13])([H:9])[H:10])=[C:6]=[O:7])[H:8],train
161,164.0,0.0,121,102,[C:1](#[C:2][C@:3]12[C:4]([H:9])([H:10])[C@@:5]1([H:11])[O:6][C:7]2([H:12])[H:13])[H:8]>>[C:1](#[C:2][C:3]([C:4]([C:5](=[O:6])[H:11])([H:9])[H:10])=[C:7]([H:12])[H:13])[H:8],train
162,165.0,0.0,122,103,[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[O:4][C@:5]1([C:6]#[C:7][H:15])[H:14])([H:8])([H:9])[H:10]>>[C:1](=[C:2]([C:3]([O:4][C:5](=[C:6]=[C:7]([H:9])[H:15])[H:14])([H:12])[H:13])[H:11])([H:8])[H:10],train
163,166.0,0.0,123,104,[O:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[C@:4]3([H:11])[C:5]([H:12])([H:13])[N:6]2[C@:7]13[H:14])[H:8]>>[O:1](/[C:2](=[C:3](/[C@:4]1([H:11])[C:5]([H:12])([H:13])[N:6]=[C:7]1[H:14])[H:10])[H:9])[H:8],train
164,167.0,1.0,124,104,[O:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[C@:4]3([H:11])[C:5]([H:12])([H:13])[N:6]2[C@:7]13[H:14])[H:8]>>[O:1]1[C@@:2]2([H:9])[C@:3]1([H:10])[N:6]1[C:5]([H:12])([H:13])[C:4]([H:8])([H:11])[C@@:7]21[H:14],train
165,168.0,2.0,125,104,[O:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[C@:4]3([H:11])[C:5]([H:12])([H:13])[N:6]2[C@:7]13[H:14])[H:8]>>[O:1]([C@@:2]1([H:9])[C:3]([H:10])=[N:6][C@:7]1([C:4](=[C:5]([H:12])[H:13])[H:11])[H:14])[H:8],train
166,169.0,0.0,126,105,[C:1]([C@@:2]([C:3]([C:4]#[C:5][H:14])([H:12])[H:13])([C:6]#[C:7][H:15])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C:2](=[C:6]=[C:7]([C:5](=[C:4]=[C:3]([H:12])[H:13])[H:14])[H:15])[H:11])([H:8])([H:9])[H:10],train
167,170.0,0.0,127,106,[O:1]=[C:2]([C@@:3]1([H:9])[C@@:4]2([H:10])[C:5]([H:11])([H:12])[C:6]([H:13])([H:14])[N:7]12)[H:8]>>[O-:1][C:2](=[C:3]([N+:7]1=[C:4]([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])[H:9])[H:8],train
168,171.0,0.0,128,107,[C:1]1([H:8])([H:9])[N:2]([H:10])[C@:3]12[C@:4]1([H:11])[C:5]([H:12])([H:13])[C@@:6]2([H:14])[O:7]1>>[C:1]1([H:8])([H:9])[N:2]([H:10])[C@:3]1([C:4](=[O:7])[H:11])[C:6](=[C:5]([H:12])[H:13])[H:14],train
