param_criterion,param_max_features,param_n_estimators,params
gini,sqrt,20,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 20}"
gini,sqrt,50,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 50}"
gini,sqrt,75,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 75}"
gini,sqrt,100,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 100}"
gini,sqrt,200,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 200}"
gini,log2,20,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 20}"
gini,log2,50,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 50}"
gini,log2,75,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 75}"
gini,log2,100,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 100}"
gini,log2,200,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 200}"
entropy,sqrt,20,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 20}"
entropy,sqrt,50,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 50}"
entropy,sqrt,75,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 75}"
entropy,sqrt,100,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 100}"
entropy,sqrt,200,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 200}"
entropy,log2,20,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 20}"
entropy,log2,50,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 50}"
entropy,log2,75,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 75}"
entropy,log2,100,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 100}"
entropy,log2,200,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 200}"
