,bond,boundary,sort
0,CC,"[1.100725916177802, 1.3593463464384867, 1.4769010874660708, 1.3223291088383116, 1.442885247509153, 1.4924083086229012, 1.5144185580067893, 1.6074618849477704, 1.784044112959418]","[[1, 20], [2, 427], [3, 13947], [4, 810], [5, 693], [6, 1715], [7, 6625], [8, 12]]"
1,CN,"[1.0568719444129202, 1.3056017399952193, 1.327121621705559, 1.360152137819104, 1.2330346970184922, 1.405694213066567, 1.434220567891901, 1.5273065678482545, 1.6554249333795796]","[[1, 74], [2, 211], [3, 367], [4, 1412], [5, 2738], [6, 578], [7, 2805], [8, 9]]"
3,CH,"[0.936327374548024, 1.0756338513321084, 1.1072033047040413, 1.2414987571433747, 1.0911680268008372]","[[1, 23], [2, 9536], [3, 17899], [4, 64]]"
4,CCl,"[1.594245632080087, 1.7385837568107378, 1.7250520576172392, 1.7130238805563518, 1.8929453624254615]","[[1, 10], [2, 178], [3, 134], [4, 13]]"
5,CO,"[1.1058479297179493, 1.5842012610897807, 1.3064961367055061, 1.4015663594676901]","[[1, 1673], [2, 1533], [3, 1668]]"
6,HN,"[0.8935757126532724, 1.0002367340069938, 1.0172624369460854, 1.0112533653205236, 1.0107526093517267, 1.0242730205092407, 1.0247737764780376, 1.029280580197209, 1.1664877156475357]","[[1, 2], [2, 315], [3, 55], [4, 717], [5, 485], [6, 16], [7, 72], [8, 48]]"
7,CS,"[1.5101248797635953, 1.7538593359650831, 1.6792876029588786, 1.7428487445145027, 1.6302404228608378, 1.8009045903448366, 1.8749758419214695, 1.9865832007159905]","[[1, 2], [2, 17], [3, 329], [4, 24], [5, 232], [6, 140], [7, 2]]"
8,OS,"[1.3370554327979902, 1.7609497149038358, 1.4746834464687193]","[[1, 323], [2, 17]]"
10,CF,"[1.3557540613063965, 1.236591067245266, 1.347743103722455, 1.3712752916252833, 1.2976746188228203, 1.4784218493105012]","[[2, 180], [3, 59], [4, 259], [5, 9]]"
11,NO,"[1.135244463621897, 1.4542473704197483, 1.5734352696629015, 1.3305523657430305]","[[1, 120], [2, 83], [3, 2]]"
12,HO,"[0.8564253957018912, 0.961129780169241, 0.9746561839042575, 0.9751571618203692, 0.9776620514009278, 0.979164985149263, 0.9796659630653747, 0.9871806318070505, 1.1189378237444332]","[[1, 1], [2, 231], [3, 21], [4, 92], [5, 58], [6, 19], [7, 203], [8, 19]]"
14,OP,"[1.388356195929332, 1.724541363541199, 1.5466788680088401]","[[1, 25], [2, 56]]"
